CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2;Passivo Total;13027217.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2;Passivo Total;16056570.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01;Passivo Circulante;3205448.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01;Passivo Circulante;4827543.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.01;Obrigações Sociais e Trabalhistas;57847.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.01;Obrigações Sociais e Trabalhistas;60303.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.01.01;Obrigações Sociais;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.01.01;Obrigações Sociais;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.01.02;Obrigações Trabalhistas;57847.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.01.02;Obrigações Trabalhistas;60303.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.02;Fornecedores;2005607.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.02;Fornecedores;2758582.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.02.01;Fornecedores Nacionais;2005607.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.02.01;Fornecedores Nacionais;2758582.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.02.02;Fornecedores Estrangeiros;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.02.02;Fornecedores Estrangeiros;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.03;Obrigações Fiscais;75321.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.03;Obrigações Fiscais;109890.00
