CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.01;Receitas da Intermediação Financeira;137778601.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.01;Receitas da Intermediação Financeira;182368871.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.01.01;Receita de Juros;137778601.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.01.01;Receita de Juros;182368871.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.02;Despesas da Intermediação Financeira;-105909418.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.02;Despesas da Intermediação Financeira;-159904025.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.02.01;Despesas de Juros;-91124202.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.02.01;Despesas de Juros;-136620920.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos a Clientes;-14789246.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos a Clientes;-23288968.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;4030.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;5863.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.03;Resultado Bruto Intermediação Financeira;31869183.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.03;Resultado Bruto Intermediação Financeira;22464846.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2014-01-01;2014-12-31;3.04;Outras Despesas/Receitas Operacionais;-16264666.00
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2015-01-01;2015-12-31;3.04;Outras Despesas/Receitas Operacionais;-12327342.00
